Market,Ticker,Name,Preset,Close,Total Score,Market(30),Sector(30),Stock(50),Ichi(15),EMA Trend,EMA Stack,Entry Signal,Candle Trig,RSI,ADX,ATR,Entry Zone,SL (1.5 ATR),TP1 (2R),TP2 (3R)
STOCKHOLM,TELIA.ST,Telia,Universal,48.24,80,0,15,50,15,YES,FULL,YES,no,66.5,22.1,0.81,48.24,47.03,50.66,51.87
STOCKHOLM,TEL2-B.ST,Tele2,Universal,194.6,75,0,15,50,10,YES,FULL,YES,no,62.7,22.5,3.6,194.6,189.2,205.4,210.8
STOCKHOLM,ERIC-B.ST,Ericsson,Universal,106.3,70,0,15,40,15,YES,FULL,no,no,52.6,19.2,3.0,106.3,101.8,115.29,119.79
STOCKHOLM,EVO.ST,Evolution,Universal,585.2,62,0,15,34,13,no,no,no,no,55.8,32.2,18.01,585.2,558.19,639.23,666.24
STOCKHOLM,SWED-A.ST,Swedbank,Universal,318.9,60,0,0,50,10,YES,FULL,YES,no,62.0,28.0,8.36,318.9,306.36,343.98,356.52
STOCKHOLM,INVE-B.ST,Investor,Universal,354.3,59,0,15,42,2,no,no,no,no,52.5,30.6,7.82,354.3,342.57,377.76,389.49
STOCKHOLM,AZN.ST,AstraZeneca,Universal,1854.0,57,0,0,50,7,YES,FULL,YES,no,62.0,37.0,41.71,1854.0,1791.44,1979.13,2041.69
STOCKHOLM,SAND.ST,Sandvik,Universal,357.4,51,0,15,34,2,no,no,no,no,49.8,26.4,11.94,357.4,339.48,393.23,411.15
STOCKHOLM,SSAB-B.ST,SSAB B,Universal,73.46,51,0,15,34,2,no,no,no,no,52.4,23.3,2.85,73.46,69.19,82.01,86.28
STOCKHOLM,SSAB-A.ST,SSAB A,Universal,73.66,51,0,15,34,2,no,no,no,no,52.0,23.9,2.79,73.66,69.48,82.02,86.2
